Ticker,1/9,31/8,30/8,29/8,28/8,25/8,24/8,23/8,22/8,21/8,18/8,17/8,16/8,14/8,11/8,10/8,9/8,8/8,7/8,4/8,3/8,2/8,1/8,31/7,28/7,27/7,26/7,25/7,24/7,1/9,31/8,30/8,29/8,28/8,25/8,24/8,23/8,22/8,21/8,18/8,17/8,16/8,14/8,11/8,10/8,9/8,8/8,7/8,4/8,3/8,2/8,1/8,31/7,28/7,27/7,26/7,25/7,24/7,1/9,31/8,30/8,29/8,28/8,25/8,24/8,23/8,22/8,21/8,18/8,17/8,16/8,14/8,11/8,10/8,9/8,8/8,7/8,4/8,3/8,2/8,1/8,31/7,28/7,27/7,26/7,25/7,24/7
TATACHEM.NS,white,white,white,white,green,white,white,white,white,white,red,white,white,white,white,yellow,white,white,white,white,white,white,white,white,green,white,yellow,red,white
BAJAJ-AUTO.NS,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,yellow,white,white,white,white,white,white,white,white,white
BAJAJFINSV.NS,yellow,red,yellow,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,yellow,white,white,white,white
